caldt,vwretd,vwretx
1989-09-18,0.003590,0.003526
1989-09-19,0.000879,0.000742
1989-09-20,-0.000341,-0.000347
1989-09-21,-0.000809,-0.000949
1989-09-22,0.002869,0.002854
1989-09-25,-0.006343,-0.006801
1989-09-26,0.001578,0.001526
1989-09-27,0.001284,0.001255
1989-09-28,0.008863,0.008739
1989-09-29,0.002758,0.002545
1989-10-02,0.004611,0.004520
1989-10-03,0.009659,0.009334
1989-10-04,0.005455,0.005329
1989-10-05,0.000770,0.000757
1989-10-06,0.004964,0.004858
1989-10-09,0.002250,0.002250
1989-10-10,-0.001551,-0.001608
1989-10-11,-0.005704,-0.005730
1989-10-12,-0.003664,-0.003665
1989-10-13,-0.053405,-0.053413
1989-10-16,0.016131,0.015928
1989-10-17,-0.003916,-0.003963
1989-10-18,0.002856,0.002841
1989-10-19,0.015212,0.015189
1989-10-20,-0.000385,-0.000412
1989-10-23,-0.006405,-0.006513
1989-10-24,-0.005112,-0.005144
1989-10-25,-0.002363,-0.002534
1989-10-26,-0.010965,-0.011182
1989-10-27,-0.009056,-0.009072
1989-10-30,-0.000208,-0.000385
1989-10-31,0.013237,0.012949
1989-11-01,0.003317,0.003273
1989-11-02,-0.005966,-0.006382
1989-11-03,-0.001556,-0.001592
1989-11-06,-0.012811,-0.013122
1989-11-07,0.005108,0.004749
1989-11-08,0.009643,0.009583
1989-11-09,-0.002826,-0.003133
1989-11-10,0.006082,0.005849
1989-11-13,0.001916,0.001557
1989-11-14,-0.004108,-0.004244
1989-11-15,0.006037,0.005996
1989-11-16,0.000406,0.000255
1989-11-17,0.003131,0.003007
1989-11-20,-0.005802,-0.005893
1989-11-21,-0.000514,-0.000537
1989-11-22,0.005434,0.005399
1989-11-24,0.005800,0.005654
1989-11-27,0.003835,0.003409
1989-11-28,0.001217,0.001091
1989-11-29,-0.004926,-0.004967
1989-11-30,0.004619,0.004605
1989-12-01,0.010610,0.010508
1989-12-04,0.002556,0.002115
1989-12-05,-0.003210,-0.003375
1989-12-06,-0.002462,-0.002486
1989-12-07,-0.001890,-0.001949
1989-12-08,0.001980,0.001963
